condition_id,series,trial,bead_um,solvent_label,solute_pct,eta_mPas,temp_C,n_frames,n_particles,n_segments,n_steps,D_var,D_var_err,D_gauss,D_gauss_err,D_msd,D_var_raw,D_gauss_raw,D_msd_raw,D0,F_min_wall,F_max_wall,D_theory_max,D_theory_min,alpha,alpha_err,classification,dirname
S2,S-slide,1,1.0,20% Gly,20.1,1.699,21.0,120,3,3,301,0.1893,0.011,0.1882,0.011,0.2124,0.2073,0.2062,0.2304,0.2537,0.986,0.561,0.2501482,0.1423257,0.698,0.049,Sub-diffusive,s2c-1um-0_5p-11_5ul-water-3978_5ul-gly-1000ul-trial1-tracker
S2,S-slide,2,1.0,20% Gly,20.0,1.695,21.0,120,3,3,355,0.248,0.0046,0.2571,0.0046,0.2612,0.266,0.2751,0.2792,0.2543,0.986,0.561,0.2507398,0.14266230000000002,1.157,0.012,Super-diffusive,s2a-1um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial2-tracker
S2,S-slide,2,1.0,20% Gly,20.1,1.699,21.0,120,5,5,537,0.1696,0.0107,0.1623,0.0107,0.1635,0.1877,0.1803,0.1815,0.2537,0.986,0.561,0.2501482,0.1423257,0.892,0.05,Sub-diffusive,s2c-1um-0_5p-11_5ul-water-3978_5ul-gly-1000ul-trial2-tracker
S2,S-slide,3,1.0,20% Gly,20.0,1.695,21.0,120,1,1,115,0.317,0.0052,0.3066,0.0052,0.3607,0.3351,0.3247,0.3787,0.2543,0.986,0.561,0.2507398,0.14266230000000002,0.848,0.014,Sub-diffusive,s2a-1um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial3-tracker
S2,S-slide,3,1.0,20% Gly,20.1,1.699,21.0,,,,,,,,,,,,,0.2537,0.986,0.561,0.2501482,0.1423257,1.063,0.006,,s2c-1um-0_5p-11_5ul-water-3978_5ul-gly-1000ul-trial3-tracker
S1,S-slide,3,3.0,Water,0.0,0.981,21.0,120,5,5,595,0.059,0.0033,0.0613,0.0033,0.072,0.0771,0.0793,0.0901,0.1465,0.959,0.559,0.1404935,0.08189350000000001,0.49,0.141,Sub-diffusive,s1b-3um-0_5p-2_5ul-water-597_5ul-gly-0ul-trial3-tracker
S1,S-slide,4,3.0,Water,0.0,0.981,21.0,120,5,5,593,0.0597,0.0051,0.0577,0.0051,0.0682,0.0778,0.0757,0.0863,0.1465,0.959,0.559,0.1404935,0.08189350000000001,0.909,0.01,Normal diffusion,s1b-3um-0_5p-2_5ul-water-597_5ul-gly-0ul-trial4-tracker
S1,S-slide,5,3.0,Water,0.0,0.981,21.0,,,,,,,,,,,,,0.1465,0.959,0.559,0.1404935,0.08189350000000001,0.222,0.013,,s1b-3um-0_5p-2_5ul-water-597_5ul-gly-0ul-trial5-tracker
S2,S-slide,1,3.0,20% Gly,20.0,1.695,21.0,120,2,2,238,0.0934,0.0214,0.0971,0.0214,0.0711,0.1115,0.1151,0.0892,0.0848,0.959,0.559,0.0813232,0.047403200000000006,1.299,0.027,Super-diffusive,s2b-3um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial1-tracker
S3,S-slide,1,3.0,20% Gly,20.2,1.703,21.0,120,4,4,475,0.0,0.0004,0.0,0.0004,0.0,0.0089,0.0094,0.0083,0.0844,0.959,0.559,0.0809396,0.04717960000000001,1.143,0.005,Super-diffusive,s3-3um-0_5p-3ul-water-396ul-gly-100ul-trial1-tracker
S2,S-slide,2,3.0,20% Gly,20.0,1.695,21.0,120,1,1,119,0.081,0.0032,0.0747,0.0032,0.0861,0.0991,0.0927,0.1041,0.0848,0.959,0.559,0.0813232,0.047403200000000006,1.302,0.051,Super-diffusive,s2b-3um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial2-tracker
S3,S-slide,2,3.0,20% Gly,20.2,1.703,21.0,120,5,5,595,0.0,0.0004,0.0,0.0004,0.0,0.0122,0.0124,0.0106,0.0844,0.959,0.559,0.0809396,0.04717960000000001,0.921,0.01,Normal diffusion,s3-3um-0_5p-3ul-water-396ul-gly-100ul-trial2-tracker
S2,S-slide,3,3.0,20% Gly,20.0,1.695,21.0,120,1,1,119,0.0319,0.0027,0.0266,0.0027,0.0273,0.05,0.0446,0.0453,0.0848,0.959,0.559,0.0813232,0.047403200000000006,1.439,0.059,Super-diffusive,s2b-3um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial3-tracker
S8,S-slide,1,3.0,20% Ace,20.1,0.819,21.0,120,2,2,238,0.0078,0.0043,0.0044,0.0043,0.0,0.0258,0.0224,0.0076,0.1755,0.959,0.559,0.1683045,0.0981045,0.348,0.031,Sub-diffusive,s8-3um-0_5p-3ul-water-397ul-ace-100ul-trial1-tracker
S8,S-slide,2,3.0,20% Ace,20.1,0.819,21.0,120,3,3,356,0.0042,0.0011,0.0054,0.0011,0.0,0.0222,0.0234,0.012,0.1755,0.959,0.559,0.1683045,0.0981045,0.416,0.017,Sub-diffusive,s8-3um-0_5p-3ul-water-397ul-ace-100ul-trial2-tracker
S7,S-slide,1,3.0,36% Gly,36.3,3.043,21.0,120,3,3,356,0.0,0.003,0.0,0.003,0.0034,0.0158,0.0152,0.0214,0.0472,0.959,0.559,0.045264799999999994,0.026384800000000003,1.246,0.008,Super-diffusive,s7-3um-0_5p-3_8ul-water-316_2ul-gly-180ul-trial1-tracker
S7,S-slide,2,3.0,36% Gly,36.3,3.043,21.0,120,4,4,476,0.009,0.0031,0.0087,0.0031,0.0033,0.027,0.0267,0.0213,0.0472,0.959,0.559,0.045264799999999994,0.026384800000000003,0.971,0.013,Normal diffusion,s7-3um-0_5p-3_8ul-water-316_2ul-gly-180ul-trial2-tracker
S7,S-slide,3,3.0,36% Gly,36.3,3.043,21.0,120,5,5,594,0.0039,0.0037,0.0003,0.0037,0.0,0.0219,0.0184,0.0159,0.0472,0.959,0.559,0.045264799999999994,0.026384800000000003,1.037,0.034,Normal diffusion,s7-3um-0_5p-3_8ul-water-316_2ul-gly-180ul-trial3-tracker
S9,S-slide,1,3.0,40% Ace,40.0,0.62,21.0,120,5,5,595,0.01,0.0055,0.0092,0.0055,0.0153,0.028,0.0273,0.0334,0.2317,0.959,0.559,0.2222003,0.1295203,0.969,0.009,Normal diffusion,s9-3um-0_5p-24_0ul-water-1200ul-ace-800ul-trial1-tracker
